"snapshot-date","sku","fnsku","asin","product-name","condition","available","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","no-sale-last-6-months","reserved-quantity","unfulfillable-quantity","quantity-to-be-charged-ais-181-210-days","estimated-ais-181-210-days","quantity-to-be-charged-ais-211-240-days","estimated-ais-211-240-days","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-365-PLUS-days","estimated-ais-365-plus-days"
"2023-06-25","3R-DZCU-B0QB","X003BKWG5T","B0B72FY9N1","Lunar Coffee Lab Heirloom Organic Ethiopia Coffee - Medium Light Roast - Cup of Excellence Finalist (Ethiopia, 4oz)","New","2","0","2","0","0","0","0","USD","0","4","8","15","Low traffic","5.99","5.99","5.99","0.0","GoToRestock","1","0.0","0","0","0.0","2.61","0.027878","cubic feet","Standard","0.055756","US","gl_grocery","105767","23","0","2","1","5.99","0.0","23.96","47.92","89.85","0","2","0","0","0","0.02","0","0","0","0","","0","1","","","","","","","","","","","","","",""
"2023-06-25","TX-DXTA-0IAA","X003BKWCAX","B0B72J6HMY","Lunar Coffee Lab Yemen Mocca Natural Medium Light Roast Coffee - Drought Resistant Coffee Bean - Cherry Processed Whole Bean (8oz)","New","3","0","3","0","0","0","0","USD","0","1","1","2","Low traffic","9.99","9.99","9.99","0.0","GoToRestock","3","0.0","0","0","36.03","5.78","0.042459","cubic feet","Standard","0.127377","US","gl_grocery","105767","30","0","12","19","9.99","0.0","9.99","9.99","19.98","0","3","0","0","0","0.1","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","BL-G5VV-EQCH","X003BKJOU9","B0B72K89D5","Lunar Coffee Lab Heirloom Organic Ethiopia Coffee - Medium Light Roast - Cup of Excellence Finalist Natural Process (8oz)","New","1","0","1","0","0","0","0","USD","2","2","6","8","Low traffic","9.99","9.99","9.99","0.0","GoToRestock","1","0.0","0","0","14.49","2.0","0.045594","cubic feet","Standard","0.045594","US","gl_grocery","126412","13","0","2","1","9.99","19.98","19.98","59.94","79.92","0","0","1","0","0","0.04","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","EA-FQDE-AQ4H","X003BKWG63","B0B72KRLQJ","Lunar Coffee Lab Mexico Honey Process Medium Dark Roast Coffee - Rainforest Alliance Certified - Whole Bean (Mexico, 8oz)","New","14","0","14","0","0","0","0","USD","1","2","6","10","Low traffic","9.99","9.99","9.99","0.0","Advertise listing","0","0.0","0","0","198.71","0.68","0.045401","cubic feet","Standard","0.635614","US","gl_grocery","105767","170","0","28","18","9.99","9.99","19.98","59.94","99.9","0","0","14","0","0","0.51","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","UL-B7Y6-QSAY","X003BKQH3B","B0B72KSYFG","Lunar Coffee Lab Indonesia Low Acid Coffee - Specialty Medium Dark Roast - Wet Hulled Pour Over Coffee, Espresso, Cold Brew (4oz)","New","8","0","8","0","0","0","0","USD","0","1","4","15","Low traffic","5.99","5.99","5.99","0.0","Advertise listing","1","0.0","0","0","29.31","2.31","0.025375","cubic feet","Standard","0.203","US","gl_grocery","126412","78","0","32","6","5.99","0.0","5.99","23.96","89.85","0","8","0","0","0","0.16","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","NS-72J6-RQWK","X003BKWCAN","B0B72M5YQR","Lunar Coffee Lab Mexico Honey Process Medium Dark Roast Coffee - Rainforest Alliance Certified - Whole Bean (Mexico, 4oz)","New","7","0","7","0","0","0","0","USD","0","3","10","13","Low traffic","5.99","5.99","5.99","0.0","GoToRestock","7","0.0","0","0","0.0","1.56","0.032347","cubic feet","Standard","0.226429","US","gl_grocery","126412","56","0","9","7","5.99","0.0","17.97","59.9","77.87","0","0","7","0","0","0.18","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","JO-P4K6-BP3Q","X003BKQH3L","B0B72NMD4N","Lunar Coffee Lab - Colombia Organic Dark Roast - Volcanic Soil Grown at Mount Tolima - Fair Trade Dark Roast Coffee or Espresso (Whole Bean, 8oz)","New","4","0","1","3","0","0","0","USD","1","2","7","7","Low traffic","9.99","9.99","9.99","0.0","Advertise listing","0","0.0","0","0","39.73","0.97","0.040509","cubic feet","Standard","0.162036","US","gl_grocery","105767","56","0","8","7","9.99","9.99","19.98","69.93","69.93","1","0","0","0","0","0.1","0","0","0","0","","0","1","","","","","","","","","","","","","",""
"2023-06-25","P0-U8C7-1I39","X003KO2PJD","B0BQDD87LR","Lunar Coffee Lab Mexico Coffee - Extra Fancy Medium Dark Roast Coffee - Grown Coffee (Whole Bean, 12oz)","New","5","0","5","0","0","0","0","USD","0","0","0","0","Low traffic","11.99","11.99","11.99","0.0","Advertise listing","0","0.0","0","0","52.52","0.0","0.010475","cubic feet","Standard","0.052375","US","gl_grocery","562026","257","0","","","11.99","0.0","0.0","0.0","0.0","5","0","0","0","0","0.04","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","XS-WDQC-W05R","X003KODWQX","B0BQFCPHWG","Lunar Coffee Lab Indonesia Low Acid Coffee - Specialty Medium Dark Roast - Wet Hulled Pour Over Coffee, Espresso, Cold Brew (8oz)","New","5","0","2","3","0","0","0","USD","0","0","1","2","Low traffic","9.99","9.99","9.99","0.0","Advertise listing","0","0.0","0","0","60.94","0.38","0.040509","cubic feet","Standard","0.202545","US","gl_grocery","105767","108","5","","32","9.99","0.0","0.0","9.99","19.98","0","0","2","0","0","0.16","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","VJ-AFE7-G0FK","X003KOG4RH","B0BQFDQ8XJ","Lunar Coffee Lab Half Caff Organic Dark Roast Coffee - Half Decaf Mountain Water Process Guatemala Half Fair Trade Volcanic Colombia - Dark Roast Whole Bean Coffee (8oz)","New","3","0","1","2","0","0","0","USD","1","1","5","7","Low traffic","9.99","9.99","9.99","0.0","GoToRestock","3","0.0","0","0","49.56","1.56","0.066043","cubic feet","Standard","0.198129","US","gl_grocery","281283","46","0","12","5","9.99","9.99","9.99","49.95","69.93","1","0","0","0","0","0.16","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","OS-04P6-RIBQ","X003KOCEHB","B0BQFF53C9","Lunar Coffee Lab Half Caff Organic Medium Roast Coffee - Half Decaf Mountain Water Process Guatemala Half Heirloom Organic Ethiopia - Medium Light Roast Whole Bean Coffee (8oz)","New","19","0","19","0","0","0","0","USD","0","1","3","11","Low traffic","9.99","9.99","9.99","0.0","NoExcessInventory","19","0.0","0","0","0.47","0.88","0.045857","cubic feet","Standard","0.871283","US","gl_grocery","105767","141","0","76","22","9.99","0.0","9.99","29.97","109.89","0","19","0","0","0","0.69","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","AQ-JYNT-CJOS","B0C64M5F2S","B0C64M5F2S","Lunar Coffee Lab Coffee (Half Caff Medium, 4oz)","New","4","0","4","0","0","0","0","USD","","","","","Low traffic","5.99","5.99","5.99","0.0","GoToRestock","","","","","","0.0","0.024306","cubic feet","Standard","0.097224","US","gl_grocery","334356","63","0","","","5.99","","","","","4","0","0","0","0","","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","Half Caff Med 4oz","B0C64M5F2S","B0C64M5F2S","Lunar Coffee Lab Coffee (Half Caff Medium, 4oz)","New","4","0","4","0","0","0","0","USD","","","","","Low traffic","5.99","5.99","5.99","0.0","GoToRestock","","","","","","0.0","0.024306","cubic feet","Standard","0.097224","US","gl_grocery","334356","63","0","","","5.99","","","","","4","0","0","0","0","","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","Decaf Peru 4oz","B0C64NLGHC","B0C64NLGHC","Lunar Coffee Lab Coffee (Decaf Peru, 4oz)","New","5","0","5","0","0","0","0","USD","0","1","1","1","Low traffic","5.99","5.99","5.99","0.0","GoToRestock","","","","","","0.2","0.024306","cubic feet","Standard","0.12153","US","gl_grocery","334356","52","0","20","65","5.99","0.0","5.99","5.99","5.99","5","0","0","0","0","","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","F1-VTCN-Y8I5","B0C64NLGHC","B0C64NLGHC","Lunar Coffee Lab Coffee (Decaf Peru, 4oz)","New","5","0","5","0","0","0","0","USD","","","","","Low traffic","5.99","5.99","5.99","0.0","GoToRestock","","","","","","0.2","0.024306","cubic feet","Standard","0.12153","US","gl_grocery","334356","52","0","","","5.99","","","","","5","0","0","0","0","","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","Decaf Peru 8oz","B0C64S4ZCQ","B0C64S4ZCQ","Lunar Coffee Lab Coffee (Decaf Peru, 8oz)","New","6","0","6","0","0","0","0","USD","","","","","Low traffic","9.99","9.99","9.99","0.0","GoToRestock","","","","","","0.0","0.040509","cubic feet","Standard","0.243054","US","gl_grocery","334356","65","0","","","9.99","","","","","6","0","0","0","0","","0","0","0","0","","0","0","","","","","","","","","","","","","",""
"2023-06-25","S7-9BWF-HM7A","B0C64S4ZCQ","B0C64S4ZCQ","Lunar Coffee Lab Coffee (Decaf Peru, 8oz)","New","6","0","6","0","0","0","0","USD","","","","","Low traffic","9.99","9.99","9.99","0.0","GoToRestock","","","","","","0.0","0.040509","cubic feet","Standard","0.243054","US","gl_grocery","334356","65","0","","","9.99","","","","","6","0","0","0","0","","0","0","0","0","","0","0","","","","","","","","","","","","","",""
